Designator,Footprint,Quantity,Value,MPN
"C1, C10, C3",603,3,100n,CL10E104KC8VPNC
"C11, C12, C13, C14, C15, C17",603,6,100p,GRM1885C1H101JA01D
C16,603,1,1.5n,CL10B152KC8WPJC
"C2, C4, C7, C8",603,4,1u,CC0603KRX7R7BB105
"C5, C6",603,2,4.7n,C0603C472K4RECAUTO7411
C9,805,1,10u,CL10A106KQ8NNNC
"Q1, Q4, Q6",SOT-23,3,"T2N7002AK,LM","T2N7002AK,LM"
"Q2, Q3, Q5",SOT-23,3,"NX3008PBK,215","NX3008PBK,215"
"R1, R2, R5, R6",603,4,2k,ERJ-3EKF2001V
"R10, R11, R12, R13, R14, R16, R3, R4, R8, R9",603,10,1M,RC0603FR-071ML
"R15, R7",603,2,0R,RC0603JR-070RL
U1,ADS1291-2,1,ADS1291/2,ADS1291IRSMT
U2,KC2016Z,1,KC2016Z2,KC2016Z2.04800C1KX00